,customer_zip_code_prefix,seller_zip_code_prefix,product_weight_g,product_description_lenght,customer_seller_distance_km,payment_value,price,carrier_pickup_delay_hrs,approval_delay_hrs,product_length_cm,freight_value,product_height_cm,product_width_cm,delivery_delay_days,review_score
customer_zip_code_prefix,1.0,0.07416776571566872,-0.00012700288132135303,0.0246242801049415,0.48619888658120525,0.05335172742356658,0.04219637912509349,0.0016353839697450482,0.03566691605011297,0.0026988161491438133,0.22543501456051776,0.01123338668126219,-0.011123285545236831,-0.07380951964190295,-0.02678320605088911
seller_zip_code_prefix,0.07416776571566872,1.0,0.009529014644449548,0.06130729560162154,0.1701093578635908,0.06980058373837673,0.08837128513673789,0.007164401372232836,-0.001913280890520397,0.031828979047692496,0.15092441779733887,0.014274895674738598,-0.0170603104334609,-0.11868540975294324,0.027842983714095014
product_weight_g,-0.00012700288132135303,0.009529014644449548,1.0,0.05964387381234116,-0.008411225913916826,0.3042195050640737,0.33857339147564003,0.14586132120274037,0.014633373580460757,0.4602225640465116,0.6108349165472766,0.5832405069948108,0.507699281089449,0.009448094272369933,-0.02550082757074584
product_description_lenght,0.0246242801049415,0.06130729560162154,0.05964387381234116,1.0,0.045201069194103174,0.15823152531267576,0.20208194228307963,0.003714866107750785,0.006575674436668715,0.0035325712453326144,0.09535815279739479,0.07391078634217751,-0.0693970937373589,0.006887352796523269,0.014368932409360408
customer_seller_distance_km,0.48619888658120525,0.1701093578635908,-0.008411225913916826,0.045201069194103174,1.0,0.09278392870079517,0.08804572887231536,0.012961689378420014,0.02950107241299206,-0.007520365792211626,0.3897228750898809,0.0015716403853693601,-0.018954983564865666,-0.07767209236759076,-0.0553360506276384
payment_value,0.05335172742356658,0.06980058373837673,0.3042195050640737,0.15823152531267576,0.09278392870079517,1.0,0.7375278647974389,0.08192549815820457,0.05743934299268404,0.13826668281374582,0.37264583573690946,0.21618036612695293,0.1486254368329496,-0.019762545934923166,-0.08234655166546347
price,0.04219637912509349,0.08837128513673789,0.33857339147564003,0.20208194228307963,0.08804572887231536,0.7375278647974389,1.0,0.06023862943365054,0.018807283514772555,0.142725783879904,0.4142973083608482,0.22278674911144739,0.17304515556889594,-0.003332431485401102,0.0039012761544158685
carrier_pickup_delay_hrs,0.0016353839697450482,0.007164401372232836,0.14586132120274037,0.003714866107750785,0.012961689378420014,0.08192549815820457,0.06023862943365054,1.0,-0.040583253145263516,0.0879487016823424,0.08401888566477944,0.13373440456706429,0.055434686968518894,0.19057741936816386,-0.14888593741072173
approval_delay_hrs,0.03566691605011297,-0.001913280890520397,0.014633373580460757,0.006575674436668715,0.02950107241299206,0.05743934299268404,0.018807283514772555,-0.040583253145263516,1.0,0.008480946945337022,0.03344963989495471,0.013047699627730181,0.0009998642111000544,0.04319695573891956,-0.020045143473626677
product_length_cm,0.0026988161491438133,0.031828979047692496,0.4602225640465116,0.0035325712453326144,-0.007520365792211626,0.13826668281374582,0.142725783879904,0.0879487016823424,0.008480946945337022,1.0,0.3050482437128657,0.19162945346855761,0.5361108214721862,0.008079893085708332,-0.018339413179886736
freight_value,0.22543501456051776,0.15092441779733887,0.6108349165472766,0.09535815279739479,0.3897228750898809,0.37264583573690946,0.4142973083608482,0.08401888566477944,0.03344963989495471,0.3050482437128657,1.0,0.3913899662858103,0.3236540621742273,-0.04072703438201421,-0.03240534890071656
product_height_cm,0.01123338668126219,0.014274895674738598,0.5832405069948108,0.07391078634217751,0.0015716403853693601,0.21618036612695293,0.22278674911144739,0.13373440456706429,0.013047699627730181,0.19162945346855761,0.3913899662858103,1.0,0.27867752269235485,-0.0016219188783480904,-0.022243913664906616
product_width_cm,-0.011123285545236831,-0.0170603104334609,0.507699281089449,-0.0693970937373589,-0.018954983564865666,0.1486254368329496,0.17304515556889594,0.055434686968518894,0.0009998642111000544,0.5361108214721862,0.3236540621742273,0.27867752269235485,1.0,-0.0016838566288626103,-0.010246474815764526
delivery_delay_days,-0.07380951964190295,-0.11868540975294324,0.009448094272369933,0.006887352796523269,-0.07767209236759076,-0.019762545934923166,-0.003332431485401102,0.19057741936816386,0.04319695573891956,0.008079893085708332,-0.04072703438201421,-0.0016219188783480904,-0.0016838566288626103,1.0,-0.22592267793729356
review_score,-0.02678320605088911,0.027842983714095014,-0.02550082757074584,0.014368932409360408,-0.0553360506276384,-0.08234655166546347,0.0039012761544158685,-0.14888593741072173,-0.020045143473626677,-0.018339413179886736,-0.03240534890071656,-0.022243913664906616,-0.010246474815764526,-0.22592267793729356,1.0
